43,41,22.8,114,41,14.1
43,41,22.9,114,41,14.2
43,41,22.8,114,41,14
43,41,21.4,114,41,12.9
43,41,20.2,114,41,12.3
43,41,20.4,114,41,12.3
43,41,20.4,114,41,12.3
43,41,20.4,114,41,12.1
43,41,20.7,114,41,11.7
43,41,20.6,114,41,11.9
43,41,20.7,114,41,10.9
43,41,21,114,41,10.7
43,41,20.8,114,41,10
43,41,21.2,114,41,9.4
43,41,21.3,114,41,10.1
43,41,21.6,114,41,10.9
43,41,21.1,114,41,11.6
43,41,22,114,41,11.9
43,41,22,114,41,13.6
43,41,21.4,114,41,14.7
43,41,21.1,114,41,15.5
43,41,19.6,114,41,15.8
43,41,18.3,114,41,15.2
43,41,18.1,114,41,14.3
43,41,19.4,114,41,13.6
43,41,20.1,114,41,12.6
43,41,21,114,41,12
43,41,21.8,114,41,13.2
43,41,23,114,41,14.2
